country_fr,iso3c,pop2018,date,test_unit,tests,cases,deaths,tests_7dravg,cases_7dravg,deaths_7dravg,ctratio_7dravg
Belgique,BEL,11422068,2020-03-26,units unclear,3178,668,56,2471,1215,83,0.49
Belgique,BEL,11422068,2020-03-27,units unclear,3721,1298,42,2648,1290,93,0.49
Belgique,BEL,11422068,2020-03-28,units unclear,2945,1049,69,2815,1302,113,0.46
Belgique,BEL,11422068,2020-03-29,units unclear,1855,1850,64,2924,1355,122,0.46
Belgique,BEL,11422068,2020-03-30,units unclear,3039,1702,78,3006,1328,133,0.44
Belgique,BEL,11422068,2020-03-31,units unclear,4692,1063,82,3247,1265,145,0.39
Belgique,BEL,11422068,2020-04-01,units unclear,4137,876,192,3367,1274,160,0.38
Belgique,BEL,11422068,2020-04-02,units unclear,4256,1189,123,3521,1346,190,0.38
Belgique,BEL,11422068,2020-04-03,units unclear,4541,1384,183,3638,1348,202,0.37
Belgique,BEL,11422068,2020-04-04,units unclear,3774,1422,132,3756,1376,216,0.37
Belgique,BEL,11422068,2020-04-05,units unclear,2304,1661,140,3820,1414,268,0.37
Belgique,BEL,11422068,2020-04-06,units unclear,3836,1260,164,3934,1370,295,0.35
Belgique,BEL,11422068,2020-04-07,units unclear,5068,1123,185,3988,1422,308,0.36
Belgique,BEL,11422068,2020-04-08,units unclear,5130,1380,403,4130,1396,324,0.34
Belgique,BEL,11422068,2020-04-09,units unclear,5147,1209,205,4257,1275,303,0.3
Belgique,BEL,11422068,2020-04-10,units unclear,5678,1580,283,4420,1453,314,0.33
Belgique,BEL,11422068,2020-04-11,units unclear,5799,1684,496,4709,1404,333,0.3
Belgique,BEL,11422068,2020-04-12,units unclear,5552,1351,327,5173,1353,306,0.26
Belgique,BEL,11422068,2020-04-13,units unclear,5163,1629,254,5362,1309,301,0.24
Belgique,BEL,11422068,2020-04-14,units unclear,5568,942,303,5434,1264,298,0.23
Belgique,BEL,11422068,2020-04-15,units unclear,7096,530,254,5715,1342,275,0.23
Belgique,BEL,11422068,2020-04-16,units unclear,6781,2454,283,5948,1405,263,0.24
Belgique,BEL,11422068,2020-04-17,units unclear,7943,1236,417,6272,1188,260,0.19
Belgique,BEL,11422068,2020-04-18,units unclear,7863,1329,306,6567,1141,233,0.17
Belgique,BEL,11422068,2020-04-19,units unclear,5598,1045,290,6573,1165,217,0.18
Belgique,BEL,11422068,2020-04-20,units unclear,8673,1313,230,7075,1163,209,0.16
Belgique,BEL,11422068,2020-04-21,units unclear,7077,1487,145,7290,1091,202,0.15
Belgique,BEL,11422068,2020-04-22,units unclear,12301,973,170,8034,958,197,0.12
Belgique,BEL,11422068,2020-04-23,units unclear,13505,933,264,8994,911,190,0.1
Belgique,BEL,11422068,2020-04-24,units unclear,15319,908,228,10048,853,177,0.08
Belgique,BEL,11422068,2020-04-25,units unclear,14263,1496,189,10962,817,158,0.07
